budget,id,original_language,original_title,popularity,release_date,revenue,runtime,title,avg_user_score,num_votes,director,genre,num_actors,lead_actor,num_famous_actors,has_famous_lead,production_company_main,has_multiple_production_companies,production_country_main,has_multiple_production_countries,release_year,season_releaed,decade_released,2024_adjusted_budget,2024_adjusted_revenue
237000000,19995,en,Avatar,150.437577,2009-12-10,2787965087,162.0,Avatar,7.2,11800,James Cameron,Action,83.0,Sam Worthington,3,False,Ingenious Film Partners,True,United States of America,True,2009,Winter,2000,346498739,4076060708
300000000,285,en,Pirates of the Caribbean: At World's End,139.082615,2007-05-19,961000000,169.0,Pirates of the Caribbean: At World's End,6.9,4500,Gore Verbinski,Adventure,34.0,Johnny Depp,4,True,Walt Disney Pictures,True,United States of America,False,2007,Spring,2000,453879902,1453928619
245000000,206647,en,Spectre,107.376788,2015-10-26,880674609,148.0,Spectre,6.3,4466,Sam Mendes,Action,83.0,Daniel Craig,3,True,Columbia Pictures,True,United Kingdom,True,2015,Fall,2010,324284395,1165669522
250000000,49026,en,The Dark Knight Rises,112.31295,2012-07-16,1084939099,165.0,The Dark Knight Rises,7.6,9106,Christopher Nolan,Action,158.0,Christian Bale,7,True,Legendary Pictures,True,United States of America,False,2012,Summer,2010,341590645,1482420187
260000000,49529,en,John Carter,43.926995,2012-03-07,284139100,132.0,John Carter,6.1,2124,Andrew Stanton,Action,27.0,Taylor Kitsch,4,False,Walt Disney Pictures,False,United States of America,False,2012,Spring,2010,355254271,388237034
258000000,559,en,Spider-Man 3,115.699814,2007-05-01,890871626,139.0,Spider-Man 3,5.9,3576,Sam Raimi,Fantasy,143.0,Tobey Maguire,10,False,Columbia Pictures,True,United States of America,False,2007,Spring,2000,390336716,1347829087
260000000,38757,en,Tangled,48.681969,2010-11-24,591794936,100.0,Tangled,7.4,3330,Byron Howard,Animation,13.0,Zachary Levi,3,False,Walt Disney Pictures,True,United States of America,False,2010,Fall,2010,374004358,851284173
280000000,99861,en,Avengers: Age of Ultron,134.279229,2015-04-22,1405403694,141.0,Avengers: Age of Ultron,7.3,6767,Joss Whedon,Action,72.0,Robert Downey Jr.,12,True,Marvel Studios,True,United States of America,False,2015,Spring,2010,370610737,1860206069
250000000,767,en,Harry Potter and the Half-Blood Prince,98.885637,2009-07-07,933959197,153.0,Harry Potter and the Half-Blood Prince,7.4,5293,David Yates,Adventure,49.0,Daniel Radcliffe,6,False,Warner Bros.,True,United Kingdom,True,2009,Summer,2000,365504999,1365467022
250000000,209112,en,Batman v Superman: Dawn of Justice,155.790452,2016-03-23,873260194,151.0,Batman v Superman: Dawn of Justice,5.7,7004,Zack Snyder,Action,152.0,Ben Affleck,8,True,DC Comics,True,United States of America,False,2016,Spring,2010,326761202,1141390201
270000000,1452,en,Superman Returns,57.925623,2006-06-28,391081192,154.0,Superman Returns,5.4,1400,Bryan Singer,Adventure,18.0,Brandon Routh,3,False,DC Comics,True,United States of America,False,2006,Summer,2000,420217877,608664105
200000000,10764,en,Quantum of Solace,107.928811,2008-10-30,586090727,106.0,Quantum of Solace,6.1,2965,Marc Forster,Adventure,32.0,Daniel Craig,3,True,Eon Productions,False,United Kingdom,True,2008,Fall,2000,291467261,854131294
200000000,58,en,Pirates of the Caribbean: Dead Man's Chest,145.847379,2006-06-20,1065659812,151.0,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,Gore Verbinski,Adventure,33.0,Johnny Depp,4,True,Walt Disney Pictures,True,Jamaica,True,2006,Summer,2000,311272502,1658552979
255000000,57201,en,The Lone Ranger,49.046956,2013-07-03,89289910,149.0,The Lone Ranger,5.9,2311,Gore Verbinski,Action,60.0,Johnny Depp,5,True,Walt Disney Pictures,True,United States of America,False,2013,Summer,2010,343388481,120239712
225000000,49521,en,Man of Steel,99.398009,2013-06-12,662845518,143.0,Man of Steel,6.5,6359,Zack Snyder,Action,33.0,Henry Cavill,7,False,Legendary Pictures,True,United Kingdom,True,2013,Summer,2010,302989836,892602021
225000000,2454,en,The Chronicles of Narnia: Prince Caspian,53.978602,2008-05-15,419651413,150.0,The Chronicles of Narnia: Prince Caspian,6.3,1630,Andrew Adamson,Adventure,21.0,Ben Barnes,1,False,Walt Disney,True,Czech Republic,True,2008,Spring,2000,327900669,611573240
220000000,24428,en,The Avengers,144.448633,2012-04-25,1519557910,143.0,The Avengers,7.4,11776,Joss Whedon,Science Fiction,115.0,Robert Downey Jr.,10,True,Paramount Pictures,True,United States of America,False,2012,Spring,2010,300599768,2076267068
380000000,1865,en,Pirates of the Caribbean: On Stranger Tides,135.413856,2011-05-14,1045713802,136.0,Pirates of the Caribbean: On Stranger Tides,6.4,4948,Rob Marshall,Adventure,35.0,Johnny Depp,3,True,Walt Disney Pictures,True,United States of America,False,2011,Spring,2010,529982157,1458446464
225000000,41154,en,Men in Black 3,52.035179,2012-05-23,624026776,106.0,Men in Black 3,6.2,4160,Barry Sonnenfeld,Action,18.0,Will Smith,5,True,Amblin Entertainment,True,United States of America,False,2012,Spring,2010,307431581,852646836
250000000,122917,en,The Hobbit: The Battle of the Five Armies,120.965743,2014-12-10,956019788,144.0,The Hobbit: The Battle of the Five Armies,7.1,4760,Peter Jackson,Action,42.0,Martin Freeman,4,False,WingNut Films,True,New Zealand,True,2014,Winter,2010,331303290,1266930005
215000000,1930,en,The Amazing Spider-Man,89.866276,2012-06-27,752215857,136.0,The Amazing Spider-Man,6.5,6586,Marc Webb,Action,57.0,Andrew Garfield,2,False,Columbia Pictures,True,United States of America,False,2012,Summer,2010,293767955,1027799600
200000000,20662,en,Robin Hood,37.668301,2010-05-12,310669540,140.0,Robin Hood,6.2,1398,Ridley Scott,Action,34.0,Russell Crowe,4,True,Imagine Entertainment,True,United Kingdom,True,2010,Spring,2010,287695660,446891392
250000000,57158,en,The Hobbit: The Desolation of Smaug,94.370564,2013-12-11,958400000,161.0,The Hobbit: The Desolation of Smaug,7.6,4524,Peter Jackson,Adventure,32.0,Martin Freeman,2,False,WingNut Films,True,New Zealand,True,2013,Winter,2010,336655373,1290602039
180000000,2268,en,The Golden Compass,42.990906,2007-12-04,372234864,113.0,The Golden Compass,5.8,1303,Chris Weitz,Adventure,29.0,Dakota Blue Richards,4,False,New Line Cinema,True,United Kingdom,True,2007,Winter,2000,272327941,563166412
207000000,254,en,King Kong,61.22601,2005-12-14,550000000,187.0,King Kong,6.6,2337,Peter Jackson,Adventure,33.0,Naomi Watts,3,True,WingNut Films,True,New Zealand,True,2005,Winter,2000,332547550,883580446
200000000,597,en,Titanic,100.025899,1997-11-18,1845034188,194.0,Titanic,7.5,7562,James Cameron,Drama,136.0,Kate Winslet,4,True,Paramount Pictures,True,United States of America,False,1997,Fall,1990,390839848,3605564412
